Issue key,Issue id,Status,Created,Updated,Summary
BQ-2193,461880,QA Backlog,22/Dec/25 9:26 PM,23/Dec/25 8:37 AM,TC-03-12897-Verify Security Inspection trigger based on Suspicious X-ray Result
BQ-2192,461879,QA Backlog,22/Dec/25 9:26 PM,23/Dec/25 8:30 AM,TC-02-12897-Verify Security Inspection trigger based on Vehicle Transaction Risk
BQ-2191,461878,QA Backlog,22/Dec/25 9:26 PM,23/Dec/25 8:29 AM,TC-01-12897-Verify Security Inspection trigger based on Entry Ticket Risk
BQ-2190,461877,QA Backlog,22/Dec/25 9:26 PM,23/Dec/25 12:34 AM,TC-03-12866-Verify handling of Integration Failure during data transmission to BZMS
BQ-2189,461876,QA Backlog,22/Dec/25 9:26 PM,23/Dec/25 12:33 AM,TC-02-12866-Verify system behavior when the Appointment System returns an invalid/non-existent Entry Ticket ID
BQ-2188,461875,QA Backlog,22/Dec/25 9:26 PM,23/Dec/25 12:26 AM,"TC-01-12866-Verify that Nebras successfully retrieves vehicle and entry ticket information, creates transaction, links it and reports the and report the results to BZMS"
BQ-2187,461874,QA Backlog,22/Dec/25 9:26 PM,23/Dec/25 12:05 AM,TC-03-12783-Verify handling of Integration Failure during result transmission
BQ-2186,461873,QA Backlog,22/Dec/25 9:26 PM,23/Dec/25 12:01 AM,TC-02-12783-Verify the multi-step reporting for a successful Security Inspection (K9 + Customs + Security)
BQ-2185,461872,QA Backlog,22/Dec/25 9:26 PM,22/Dec/25 11:46 PM,TC-01-12783-Verify the end-to-end process for a successful Customs Inspection result reported to BZMS
BQ-2184,461871,QA Backlog,22/Dec/25 9:26 PM,22/Dec/25 11:30 PM,TC-05-12781-Verify X-ray System blocks submission until container is linked to a valid Entry Ticket
BQ-2183,461870,QA Backlog,22/Dec/25 9:26 PM,22/Dec/25 11:22 PM,TC-04-12781-Verify E2E process for a container requiring No Inspection (Cleared + Cleared)
BQ-2182,461869,QA Backlog,22/Dec/25 9:26 PM,22/Dec/25 11:12 PM,TC-03-12781-Verify E2E process for Security Inspection based on Suspicious X-ray result
BQ-2181,461868,QA Backlog,22/Dec/25 9:26 PM,22/Dec/25 11:05 PM,TC-02-12781-Verify E2E process for Customs Inspection (Customs + Cleared)
BQ-2180,461867,QA Backlog,22/Dec/25 9:26 PM,23/Dec/25 2:54 PM,TC-01-12781-Verify the end-to-end process for a container requiring Security Inspection based on Risk Engine result.
BQ-2179,461866,QA Backlog,22/Dec/25 9:26 PM,22/Dec/25 10:25 PM,TC-03-12780-Verify that an existing Entry Ticket ID with Rejected (Not Approved) status is handled
BQ-2178,461865,QA Backlog,22/Dec/25 9:26 PM,22/Dec/25 10:23 PM,TC-02-12780-Verify that a non-existent Entry Ticket ID is rejected with the correct message
BQ-2176,461863,QA Backlog,22/Dec/25 9:26 PM,22/Dec/25 10:18 PM,TC-01-12780-Verify valid and approved Entry Ticket ID is successfully saved in the Appointment System
BQ-2175,461862,QA Backlog,22/Dec/25 9:26 PM,22/Dec/25 9:58 PM,TC-06-12799-Verify BZMS displays error when Faseh returns no AWB with the requested criteria
BQ-2174,461861,QA Backlog,22/Dec/25 9:26 PM,22/Dec/25 9:54 PM,"TC-05-12799-Verify retrieval/selection, but no lock because the AWB is already in a declaration"
BQ-2173,461860,QA Backlog,22/Dec/25 9:26 PM,22/Dec/25 9:49 PM,"TC-04-12799-Verify successful request, selection, and Nebras lock for an AWB not in a declaration"
BQ-2172,461859,QA Backlog,22/Dec/25 9:26 PM,22/Dec/25 9:44 PM,TC-03-12799-Verify BZMS displays error when Faseh returns no BOL with the requested criteria
BQ-2171,461858,QA Backlog,22/Dec/25 9:26 PM,22/Dec/25 9:45 PM,"TC-02-12799-Verify retrieval/selection, but no lock because the BOL is already in a declaration"
BQ-2170,461857,QA Backlog,22/Dec/25 9:26 PM,22/Dec/25 9:36 PM,"TC-01-12799-Verify successful request, selection, and Nebras lock for a BOL not in a declaration"
